Cancel credit note {0} first.,ألغِ الإشعار الدائن {0} أولاً.
Cancel the linked invoice(s) first: {0},ألغِ الفواتير المرتبطة أولاً: {0}
Cancelled,ملغي
Cannot Apply Discount,تعذر تطبيق الخصم
Cannot delete: {0} school division(s) still reference this campus.,تعذر الحذف: ما زالت {0} مرحلة دراسية مرتبطة بهذا الحرم المدرسي.
Caps the computed discount. Zero means uncapped.,يحدد سقف الخصم المحتسب. الصفر يعني بلا سقف.
Carries the consumption cost. Defaults from the department.,يحمل تكلفة الاستهلاك. يُستمد افتراضياً من القسم.
Category,الفئة
Channel,القناة
Channels,القنوات
Children,الأبناء
City,المدينة
Class averages below the school mean,فصول دون متوسط المدرسة
Classes with declining results,فصول ذات نتائج متراجعة
Cleaning,مواد نظافة
Cleared,مصدّق
Cleared On,تاريخ التصديق
Code,الرمز
Collection performance,أداء التحصيل
Collections,التحصيل
Collector,المحصّل
"Comma separated. Supported: In-App, Email, SMS, WhatsApp.",مفصولة بفواصل. المدعوم: داخل التطبيق، البريد الإلكتروني، رسالة نصية، واتساب.
"Comma separated: In-App, Email, SMS, WhatsApp.",مفصولة بفواصل: داخل التطبيق، البريد الإلكتروني، رسالة نصية، واتساب.
Comments,الملاحظات
Commercial Registration,السجل التجاري
Committed,المرتبط
Company,الشركة
Company Mismatch,عدم تطابق الشركة
Completed,مكتمل
Completed On,تاريخ الإنجاز
Compliance Certificate,شهادة الامتثال
Component Eligibility,البنود المشمولة
Computed On,تاريخ الاحتساب
Condition,الشرط
Conditions,الشروط
Consolidate Sibling Invoices on Payer,دمج فواتير الأشقاء على الدافع
Consolidation opportunities,فرص دمج المشتريات
Consumed,المستهلك
Contact,بيانات التواصل
Contact Log,سجل التواصل
Converted,محوّل
Corporate,مؤسسي
Corporate Agreement,اتفاقية مؤسسية
Cost Center,مركز التكلفة
"Cost Center {0} belongs to company {1}, but this campus belongs to {2}.",مركز التكلفة {0} يتبع الشركة {1}، بينما هذا الحرم المدرسي يتبع {2}.
Costs,التكاليف
Coverage,التغطية
Create Fee Plan On Submit,إنشاء خطة رسوم عند الاعتماد
Credentials,بيانات الاعتماد
Credit Balance,الرصيد الدائن
Credit Note,إشعار دائن
Cryptographic Chain,السلسلة التشفيرية
Currency,العملة
Currency Mismatch,عدم تطابق العملة
Current,الحالي
Current Academic Year,العام الدراسي الحالي
Current Level,المستوى الحالي
Current Net,الصافي الحالي
Custody transfer with digital acknowledgement. Blocks separation while open (SKILL sec. 10.4).,نقل عهدة مع إقرار رقمي. يمنع إنهاء الخدمة ما دام مفتوحاً (SKILL sec. 10.4).
Custom,مخصص
Custom Gap (days),الفاصل المخصص (أيام)
Customer,العميل
Customer {0} does not exist.,العميل {0} غير موجود.
Customer {0} is already used by payer account {1}. One customer per payer keeps sibling invoices on a single statement.,العميل {0} مستخدم بالفعل في حساب الدافع {1}. عميل واحد لكل دافع يُبقي فواتير الأشقاء في كشف حساب واحد.
Date,التاريخ
Days,الأيام
Days After Due,أيام بعد الاستحقاق
Days Before Due,أيام قبل الاستحقاق
Days Overdue,أيام التأخر
Dedupe Key,مفتاح منع التكرار
Default Campus,الحرم المدرسي الافتراضي
Default Campus {0} is not in the granted campus list.,الحرم المدرسي الافتراضي {0} غير مدرج ضمن الأحرام الممنوحة.
Default Channels,القنوات الافتراضية
Default Company,الشركة الافتراضية
Default Fee Income Account,حساب إيراد الرسوم الافتراضي
Default Store,المستودع الافتراضي
Default VAT Rate,نسبة ضريبة القيمة المضافة الافتراضية
Deferred Tuition Revenue Account,حساب الإيرادات الدراسية المؤجلة
Delayed purchase orders,أوامر الشراء المتأخرة
Delegated,مفوَّض
Delivery,التسليم
Delivery (days),مدة التسليم (أيام)
Department,القسم
Department consumption outliers,أقسام ذات استهلاك غير معتاد
Description,الوصف
Dimensions,الأبعاد
Discount,الخصم
Discount Amount,مبلغ الخصم
Discount Rule,قاعدة الخصم
Discount Total,إجمالي الخصم
Discount Type,نوع الخصم
Discount amount must be greater than zero.,يجب أن يكون مبلغ الخصم أكبر من صفر.
Discount application {0} approved. Net payable {1} -> {2}.,تم اعتماد طلب الخصم {0}. الصافي المستحق {1} ← {2}.
Discount of {0} exceeds the {1} still uninvoiced on this plan. Raise a credit note against the issued invoices instead.,الخصم {0} يتجاوز المبلغ غير المفوتر {1} في هذه الخطة. أصدر إشعاراً دائناً على الفواتير الصادرة بدلاً من ذلك.
Discountable,قابل للخصم
Discounts,الخصومات
Disputed,معترض عليه
Division Name,اسم المرحلة
Division Name (Arabic),اسم المرحلة (بالعربية)
Division Type,نوع المرحلة
Document,المستند
Document Number,رقم المستند
Document Owner,مالك المستند
Document Type,نوع المستند
Documents expiring within {0} days,مستندات تنتهي خلال {0} يوماً
Dotted path resolved against the ags_edusmart KPI registry.,مسار منقوط يُحل من سجل مؤشرات الأداء في ags_edusmart.
Draft,مسودة
Drilldown,التفصيل
Drives which approval tier applies (SKILL sec. 17.7).,يحدد شريحة الاعتماد المطبقة (SKILL sec. 17.7).
Driving License,رخصة القيادة
Due Date,تاريخ الاستحقاق
Duplicate Invoice,فاتورة مكررة
Durable queue. The dispatcher drains it so a failing gateway never blocks a transaction.,طابور دائم. يفرّغه الموزّع بحيث لا تُعطّل بوابة متعطلة أي معاملة.
EGS Unit Serial Number,الرقم التسلسلي لوحدة الإصدار
Early Payment Discount,خصم السداد المبكر
Early payment discount only holds if settled by this date.,خصم السداد المبكر ساري فقط إذا تم السداد قبل هذا التاريخ.
Effective Discount %,نسبة الخصم الفعلية
Eligible Fee Categories,فئات الرسوم المشمولة
Email,البريد الإلكتروني
Employee,الموظف
Empty Scope,نطاق فارغ
Empty means every role that can read the dashboard.,الفراغ يعني كل دور يستطيع قراءة لوحة المتابعة.
Enable Commitment Accounting,تفعيل محاسبة الارتباطات
Enable Deferred Tuition Revenue,تفعيل الإيرادات الدراسية المؤجلة
Enable GOSI Payroll Components,تفعيل مكونات التأمينات الاجتماعية
Enable Late Fees,تفعيل رسوم التأخير
Enable Notification Engine,تفعيل محرك الإشعارات
Enable ZATCA e-Invoicing,تفعيل الفوترة الإلكترونية (زاتكا)
Enabled,مفعّل
Environment,البيئة
Error,الخطأ
Escalate After (hours),التصعيد بعد (ساعات)
Escalate To Role,التصعيد إلى دور
Escalated,مُصعَّد
Escalation Level,مستوى التصعيد
Estimated,المقدّر
Estimated Total,الإجمالي المقدّر
Event,الحدث
Every item in stock has moved in the last {0} months.,جميع أصناف المخزون تحركت خلال {0} أشهر الماضية.
Exception,الاستثناء
Executive,الإدارة التنفيذية
Expected,المتوقع
Expected collection,التحصيل المتوقع
Expected from scheduled,المتوقع من المجدول
Expected recovery,التحصيل المتوقع من المتأخرات
Expired,منتهي
Expiring Soon,يوشك على الانتهاء
Expiry Date,تاريخ الانتهاء
Exposure,حجم الانكشاف
Failed,فشل
Fair,مقبول
Falling due in window,المستحق خلال الفترة
Father,الأب
Fee Category,فئة الرسوم
Fee Component,بند رسوم
Fee Components,بنود الرسوم
Fee Plan,خطة الرسوم
Fee Structure,هيكل الرسوم
"Fee category {0} has no linked Item, so it cannot post to a revenue account.",فئة الرسوم {0} غير مرتبطة بصنف، لذا لا يمكن ترحيلها إلى حساب إيراد.
Fee plan {0} created as draft.,تم إنشاء خطة الرسوم {0} كمسودة.
Fee plan {0} is cancelled.,خطة الرسوم {0} ملغاة.
Fee plan {0} is in {1} but {2} bills in {3}. Run `bench --site &lt;site&gt; migrate` to align existing plans.,خطة الرسوم {0} بعملة {1} بينما {2} تفوتر بعملة {3}. نفّذ `bench --site &lt;site&gt; migrate` لمواءمة الخطط الحالية.
Fee plan {0} is not submitted.,خطة الرسوم {0} غير معتمدة.
Fees & Collections,الرسوم والتحصيل
Fees & Payments,الرسوم والمدفوعات
Field,الحقل
Field Value,قيمة حقل
"Field read for threshold routing, e.g. grand_total or discount_percent.",الحقل المقروء لتوجيه الاعتماد حسب الحد، مثل grand_total أو discount_percent.
"Fieldname holding a User, Employee or Payer Account.",اسم الحقل الذي يحمل مستخدماً أو موظفاً أو حساب دافع.
Finance,المالية
Financial Aid,مساعدة مالية
Financial Summary,الملخص المالي
Financial payer. Kept separate from the student identity (SKILL sec. 13.4).,الدافع المالي. يُحفظ منفصلاً عن هوية الطالب (SKILL sec. 13.4).
First Due Date,تاريخ أول استحقاق
Fiscal Year,السنة المالية
Fixed Amount,مبلغ ثابت
Floor,الطابق
From Amount,من مبلغ
From Employee,من الموظف
From Grade,من الصف
From Grade ({0}) is above To Grade ({1}).,الصف (من) {0} أعلى من الصف (إلى) {1}.
From Location,من الموقع
From and to employee are the same.,الموظف المرسل والمستلم متطابقان.
Full,كامل
Full Name,الاسم الكامل
Full Year,السنة كاملة
Furniture,أثاث
GOSI Number,رقم التأمينات الاجتماعية
Gateway Response,استجابة البوابة
Gender Type,نوع الفصل
Generated,تم الإنشاء
Girls,بنات
Good,جيد
Good Direction,الاتجاه الإيجابي
Goods Receipt,استلام البضاعة
Grace Days,أيام السماح
Grade,الصف
"Grant at least one campus, or tick Access All Campuses.",امنح حرماً مدرسياً واحداً على الأقل، أو فعّل خيار الوصول إلى جميع الأحرام.
Gross,الإجمالي قبل الخصم
Gross Total,الإجمالي قبل الخصم
Group-Wide,على مستوى المجموعة
"Group-level roles (CEO, CFO, Auditor) normally have this set.",الأدوار على مستوى المجموعة (الرئيس التنفيذي، المدير المالي، المراجع) عادةً ما يكون هذا الخيار مفعّلاً لديها.
Guardian,ولي الأمر
HR,الموارد البشرية
Handover {0} is not submitted.,تسليم العهدة {0} غير معتمد.
Head of Division,رئيس المرحلة
Health & Support,الصحة والدعم
High,مرتفعة
Higher Is Better,الأعلى أفضل
Historical Rating,التقييم التاريخي
I could not match that to an analysis I can run. Here is what I can answer for you.,لم أتمكن من مطابقة ذلك مع تحليل أستطيع تشغيله. إليك ما يمكنني الإجابة عنه.
IT Equipment,أجهزة تقنية
"If unticked, this rule wins alone and suppresses the rest.",عند عدم التحديد، تُطبق هذه القاعدة وحدها وتلغي بقية القواعد.
Ignored when the trigger is On Due Date.,يُتجاهل عندما يكون المُشغّل في تاريخ الاستحقاق.
"Immutable clearance archive, one row per invoice (SKILL sec. 25.1).",أرشيف تصديق غير قابل للتعديل، صف واحد لكل فاتورة (SKILL sec. 25.1).
In Progress,قيد التنفيذ
In-App,داخل التطبيق
Income Account,حساب الإيراد
Informed,تم الإبلاغ
Installment,القسط
Installment #,رقم القسط
Installment {0} has no billable lines.,القسط {0} لا يحتوي على بنود قابلة للفوترة.
Installment {0} is already invoiced as {1}.,القسط {0} تمت فوترته بالفعل ضمن {1}.
Installment {0} not found on {1}.,القسط {0} غير موجود في {1}.
Installment {0} of {1},القسط {0} من {1}
Installments,الأقساط
Installments total {0} does not match the net payable {1}.,إجمالي الأقساط {0} لا يطابق الصافي المستحق {1}.
Insufficient Stock,المخزون غير كافٍ
Invalid Identifier,معرّف غير صالح
Inventory,المخزون
Invoice,الفاتورة
Invoice Counter,عداد الفواتير
Invoice Hash,بصمة الفاتورة
Invoice Type Code,رمز نوع الفاتورة
Invoice company {0} does not match the fee plan company {1}.,شركة الفاتورة {0} لا تطابق شركة خطة الرسوم {1}.
"Invoice {0} belongs to {1}, not {2}.",الفاتورة {0} تخص {1} وليس {2}.
"Invoice {0} is billed to {1}, not to this payer account.",الفاتورة {0} مفوترة على {1}، وليس على حساب الدافع هذا.
Invoice {0} is not submitted.,الفاتورة {0} غير معتمدة.
Invoice {0} not found.,الفاتورة {0} غير موجودة.
Invoiced,تمت الفوترة
Invoiced rate {0} exceeds ordered rate {1} by {2}%.,السعر المفوتر {0} يتجاوز السعر المطلوب {1} بنسبة {2}٪.
Invoiced {0} but only {1} received.,تمت فوترة {0} بينما استُلم {1} فقط.
Iqama,الإقامة
Iqama / National ID,الإقامة / الهوية الوطنية
Iqama / National ID must be 10 digits starting with 1 (citizen) or 2 (resident). Got {0}.,يجب أن تتكون الهوية الوطنية / الإقامة من ١٠ أرقام تبدأ بـ ١ (مواطن) أو ٢ (مقيم). المُدخل: {0}.
Iqama / National ID {0} already belongs to employee {1}.,الهوية الوطنية / الإقامة {0} تخص الموظف {1} بالفعل.
Iqama Expiry,انتهاء الإقامة
Iqama and contract expiry tracking with scheduled reminders (SKILL sec. 11.2/35).,تتبع انتهاء الإقامة والعقود مع تذكيرات مجدولة (SKILL sec. 11.2/35).
Iqama expires,تنتهي الإقامة
Iqama expiry,انتهاء الإقامة
Issue Date,تاريخ الإصدار
Issue From Store,الصرف من مستودع
Issue To Department,الصرف إلى قسم
Issue To Employee,تسليم لموظف
Issue Unit,وحدة الصرف
Issued,تم الصرف
Issued To Employees,يُصرف للموظفين
Issued To Students,يُصرف للطلاب
Item,الصنف
Items,الأصناف
Items forecast to run out,أصناف يُتوقع نفادها
Items purchased above their historical price,أصناف اشتُريت بأعلى من سعرها التاريخي
"Jinja context: payer, student, invoice, amount, due_date, days.",متغيرات Jinja: payer، student، invoice، amount، due_date، days.
Jinja over `doc`. Example: PO {{ doc.name }} awaiting approval.,تعبير Jinja على `doc`. مثال: أمر الشراء {{ doc.name }} بانتظار الاعتماد.
Justification,المبرر
Justification Required,المبرر مطلوب
KPI,مؤشر الأداء
KPI Name,اسم مؤشر الأداء
Keep Query Log For (days),حفظ سجل الاستعلامات لمدة (أيام)
Kindergarten,رياض الأطفال
Label,التسمية
Language,اللغة
Last Refreshed,آخر تحديث
Last Reminded,آخر تذكير
Late Fee Against,رسم تأخير على
Late Fee Item,صنف رسوم التأخير
Late Fee Type,نوع رسوم التأخير
Late Fee Value,قيمة رسوم التأخير
Leave Balance,رصيد الإجازات
Leave blank for the provider default.,اتركه فارغاً لاستخدام الإعداد الافتراضي للمزوّد.
Letter,خطاب
Level,المستوى
Levels,المستويات
License Expiry,انتهاء الرخصة
"Live receivable case per payer, refreshed nightly from the AR ledger (SKILL sec. 20).",ملف تحصيل حي لكل دافع، يُحدَّث ليلياً من دفتر الذمم المدينة (SKILL sec. 20).
Location & Contact,الموقع وبيانات التواصل
Low,منخفضة
Lower Is Better,الأقل أفضل
Lower runs first. Order matters once discounts stack.,الأقل يُطبق أولاً. الترتيب مهم عند تجميع الخصومات.
Lower wins when several matrices match.,الأقل له الأولوية عند تطابق أكثر من مصفوفة.
Main drivers:,المحركات الرئيسية:
Maintenance Parts,قطع صيانة
Maintenance {0}: {1},الصيانة {0}: {1}
Maps the fee to its revenue account (SKILL sec. 17.1).,يربط الرسم بحساب الإيراد الخاص به (SKILL sec. 17.1).
Margin %,نسبة الهامش
Material Request,طلب مواد
Matrix,المصفوفة
Max Output Tokens,الحد الأقصى للمخرجات
Max Retries,الحد الأقصى للمحاولات
Maximum Amount,الحد الأقصى للمبلغ
Maximum Per Student,الحد الأقصى لكل طالب
May Override Budget,يجوز تجاوز الميزانية
Medical Alert,تنبيه طبي
Medical Insurance,التأمين الطبي
Meeting,اجتماع
Merit,استحقاق
Message,الرسالة
Method,الطريقة
Method Path,مسار الطريقة
Middle,المتوسط
Minimum Outstanding,الحد الأدنى للمتبقي
Mixed,مختلط
Mobile,الجوال
Model,النموذج
Month {0},الشهر {0}
Monthly,شهري
Monthly Straight Line,شهري بالقسط الثابت
Mother,الأم
My Children,أبنائي
My Requests,طلباتي
My Workspace,مساحة عملي
Name,الاسم
Name (Arabic),الاسم بالعربية
Narration,الصياغة النصية
National ID,الهوية الوطنية
National ID / Iqama,الهوية الوطنية / الإقامة
Need Based,حسب الحاجة
Needs Repair,يحتاج إصلاح
Net,الصافي
Net Payable,الصافي المستحق
New,جديد
Next Action Date,تاريخ الإجراء التالي
Next Due Date,تاريخ الاستحقاق التالي
No Answer,لا يوجد رد
No Fee Structure matches {0} / {1}; fee plan not created.,لا يوجد هيكل رسوم مطابق لـ {0} / {1}؛ لم تُنشأ خطة الرسوم.
No account is over budget on actuals. {0} line(s) would exceed budget once open commitments are included.,لا يوجد حساب تجاوز ميزانيته فعلياً. {0} بند سيتجاوز الميزانية عند احتساب الارتباطات المفتوحة.
No account is over budget.,لا يوجد حساب تجاوز ميزانيته.
No active employee record is linked to your login.,لا يوجد سجل موظف نشط مرتبط بحسابك.
No assets are currently issued to you.,لا توجد عهد مسلّمة لك حالياً.
No budgets are set for {0}.,لا توجد ميزانيات محددة لـ {0}.
No campus currently carries an overdue balance.,لا يوجد حرم مدرسي لديه رصيد متأخر حالياً.
"No campus is granted to your account, so no data can be reported. Ask an administrator to set up your AGS User Scope.",لا يوجد حرم مدرسي ممنوح لحسابك، لذا لا يمكن عرض أي بيانات. اطلب من المسؤول إعداد نطاق صلاحيتك.
No children are linked to your account yet.,لا يوجد أبناء مرتبطون بحسابك بعد.
No class average has fallen between the two periods.,لم ينخفض متوسط أي فصل بين الفترتين.
No class sits more than {0} points below the school average of {1}%.,لا يوجد فصل يقل عن متوسط المدرسة ({1}%) بأكثر من {0} نقطة.
"No current salary structure assignments exist. Based on the last 12 months of posted payslips, payroll is running at {0} a year.",لا توجد هياكل رواتب مسندة حالياً. بناءً على مسيّرات آخر ١٢ شهراً، تبلغ الرواتب {0} سنوياً.
No department stands out: consumption is evenly spread across {0} departments.,لا يوجد قسم شاذ: الاستهلاك موزع بالتساوي على {0} قسماً.
No employee document expires in the next {0} days.,لا يوجد مستند موظف ينتهي خلال {0} يوماً القادمة.
No fee invoices have been raised yet.,لم تُصدر أي فواتير رسوم بعد.
"No fiscal year covers today, so budgets cannot be evaluated.",لا توجد سنة مالية تغطي تاريخ اليوم، لذا لا يمكن تقييم الميزانيات.
No goods receipt exists for {0}.,لا يوجد استلام بضاعة للصنف {0}.
No installments scheduled.,لا توجد أقساط مجدولة.
No invoices yet.,لا توجد فواتير بعد.
No item is forecast to run out within {0} days at current usage.,لا يوجد صنف يُتوقع نفاده خلال {0} يوماً بمعدل الاستهلاك الحالي.
No item was requested more than once in the last {0} days.,لم يُطلب أي صنف أكثر من مرة خلال {0} يوماً الماضية.
No item's latest price is more than {0}% above its own average.,لا يوجد صنف تجاوز سعره الأخير متوسطه بأكثر من {0}%.
No leave allocated.,لا يوجد رصيد إجازات مخصص.
No payer account is linked to your login. Contact the school office.,لا يوجد حساب دافع مرتبط بحسابك. تواصل مع إدارة المدرسة.
No payer account on student {0}; fee plan not created.,لا يوجد حساب دافع للطالب {0}؛ لم تُنشأ خطة الرسوم.
No payer is more than {0} days overdue.,لا يوجد دافع متأخر أكثر من {0} يوماً.
No pending level found on this request.,لا يوجد مستوى معلّق في هذا الطلب.
